DescriptionClean,UnitsSold,Revenue,Customers,RevenuePerUnit
PAPER CHAIN KIT RETROSPOT,4616,14051.64,460,3.04
JUMBO STORAGE BAG SKULLS,6438,14006.2,454,2.18
JUMBO BAG VINTAGE CHRISTMAS,6078,13972.71,377,2.3
BOX OF VINTAGE ALPHABET BLOCKS,1342,13931.31,210,10.38
PINK BLUE FELT CRAFT TRINKET BOX,10993,13828.1,342,1.26
WORLD WAR 2 GLIDERS ASSTD DESIGNS,54951,13814.01,370,0.25
CHRISTMAS LIGHTS 10 REINDEER,1670,13795.92,263,8.26
DOUGHNUT LIP GLOSS,10395,13695.77,253,1.32
3 HOOK PHOTO SHELF ANTIQUE WHITE,1794,13611.81,250,7.59
PLASTERS IN TIN SPACEBOY,8074,13602.11,433,1.68
DOORMAT SPOTTY HOME SWEET HOME,1752,13572.06,326,7.75
LOVE HOT WATER BOTTLE,2359,13334.32,343,5.65
PLASTERS IN TIN WOODLAND ANIMALS,7803,13328.27,468,1.71
CLOTHES PEGS RETROSPOT PACK 24,8676,13325.87,496,1.54
LUNCH BAG ALPHABET DESIGN,7830,13325.55,470,1.7
SET OF 10 LED DOLLY LIGHTS,2219,13290.52,292,5.99
SET 6 SCHOOL MILK BOTTLES IN CRATE,2841,13269.49,319,4.67
TEA TIME PARTY BUNTING,2578,12926.42,346,5.01
WOODEN UNION JACK BUNTING,2091,12792.25,328,6.12
GREY HEART HOT WATER BOTTLE,3220,12763.08,387,3.96
ENAMEL FLOWER JUG CREAM,2106,12647.26,376,6.01
RED RETROSPOT MINI CASES,1747,12634.98,255,7.23
CHILDRENS CUTLERY RETROSPOT RED,2907,12604.23,245,4.34
ASSORTED COLOUR MINI CASES,1762,12550.57,257,7.12
STRAWBERRY CHARLOTTE BAG,9793,12548.15,460,1.28
WOODEN ROUNDERS GARDEN SET,1327,12531.57,279,9.44
VINTAGE SNAP CARDS,14521,12510.01,653,0.86
BLACK HEART CARD HOLDER,4870,12483.22,146,2.56
LOVE BUILDING BLOCK WORD,2011,12435.86,411,6.18
FELTCRAFT CUSHION OWL,3373,12413.89,297,3.68
CHILDRENS CUTLERY POLKADOT BLUE,2847,12366.97,228,4.34
ENAMEL BREAD BIN CREAM,873,12358.33,317,14.16
FELTCRAFT 6 FLOWER FRIENDS,6070,12357.08,423,2.04
REGENCY SUGAR BOWL GREEN,3055,12342.43,244,4.04
PACK OF 60 PINK PAISLEY CAKE CASES,24820,12226.32,610,0.49
PINK HAPPY BIRTHDAY BUNTING,2335,12179.6,281,5.22
DOORMAT WELCOME PUPPIES,2064,12107.02,198,5.87
FELTCRAFT DOLL MOLLY,4509,12001.59,249,2.66
IVORY DINER WALL CLOCK,1445,11911.65,263,8.24
SET/3 RED GINGHAM ROSE STORAGE BOX,3034,11905.95,344,3.92
WOOD S/3 CABINET ANT WHITE FINISH,1402,11885.98,213,8.48
PAPER BUNTING WHITE LACE,4082,11872.58,224,2.91
RED DINER WALL CLOCK,1400,11857.07,250,8.47
3 HEARTS HANGING DECORATION RUSTIC,3413,11797.38,238,3.46
PICNIC BASKET WICKER SMALL,1876,11789.27,404,6.28
GARDENERS KNEELING PAD CUP OF TEA,6809,11785.99,474,1.73
RED RETROSPOT PICNIC BAG,3985,11665.19,369,2.93
JUMBO BAG PAISLEY PARK,5020,11581.83,266,2.31
DOORMAT WELCOME TO OUR HOME,1522,11539.06,336,7.58
RED RETROSPOT ROUND CAKE TINS,1088,11522.44,254,10.59
ALARM CLOCK BAKELIKE IVORY,2885,11453.4,343,3.97
FAWN BLUE HOT WATER BOTTLE,3307,11443.87,364,3.46
CHARLOTTE BAG PINK POLKADOT,9716,11417.74,475,1.18
"SET 3 RETROSPOT TEA,COFFEE,SUGAR",2128,11382.81,339,5.35
"RECORD FRAME 7"" SINGLE SIZE",4374,11354.56,238,2.6
SET/20 RED RETROSPOT PAPER NAPKINS,13202,11312.56,681,0.86
CLASSIC METAL BIRDCAGE PLANT HOLDER,975,11300.02,209,11.59
WOODEN CROQUET GARDEN SET,782,11276.21,240,14.42
RED RETROSPOT UMBRELLA,1935,11265.26,280,5.82
FELTCRAFT CUSHION RABBIT,3086,11204.97,264,3.63
REGENCY TEA PLATE ROSES,6857,11097.25,341,1.62
METAL SIGN TAKE IT OR LEAVE IT,3774,11095.94,289,2.94
LUNCH BAG DOLLY GIRL DESIGN,6706,11060.88,394,1.65
JUMBO BAG TOYS,5007,11014.62,429,2.2
