CustomerKey,LastPurchase,FirstPurchase,FrequencyOrders,MonetaryValue,UnitsPurchased,ActiveMonths,Country,RecencyDays,AverageOrderValue,TenureDays,PurchaseCadenceDays,Cluster,Segment
12374,2023-11-14 15:37:00,2023-11-14 15:37:00,1,742.9300000000001,342,1,Austria,26,742.9300000000001,0,,0,Occasional
12375,2023-11-29 10:36:00,2023-09-02 14:23:00,2,457.5,178,2,Finland,11,228.75,87,87.0,0,Occasional
12377,2023-01-28 15:45:00,2022-12-20 09:37:00,2,1628.12,944,2,Switzerland,316,814.06,39,39.0,1,Loyal Growth
12378,2023-08-02 10:34:00,2023-08-02 10:34:00,1,4008.62,2529,1,Switzerland,130,4008.62,0,,1,Loyal Growth
12379,2023-09-19 10:09:00,2023-06-22 16:32:00,2,852.24,407,2,Belgium,82,426.12,88,88.0,1,Loyal Growth
12380,2023-11-18 11:27:00,2023-06-07 09:49:00,4,2724.81,1127,4,Belgium,22,681.2025000000001,164,54.666666666666664,1,Loyal Growth
12381,2023-12-05 12:44:00,2023-08-12 09:57:00,5,1845.31,808,4,Norway,5,369.062,115,28.75,2,Champions
12383,2023-06-08 08:02:00,2022-12-22 14:28:00,5,1850.56,1532,5,Belgium,185,370.11199999999997,167,41.75,1,Loyal Growth
12384,2023-11-11 08:39:00,2023-08-10 11:23:00,2,585.27,126,2,Switzerland,29,292.635,92,92.0,0,Occasional
12386,2023-01-06 12:37:00,2022-12-08 09:53:00,2,401.9,354,2,Australia,338,200.95,29,29.0,3,At Risk
12388,2023-11-24 12:30:00,2023-01-17 11:12:00,6,2780.66,1462,6,Australia,16,463.4433333333333,311,62.2,2,Champions
12390,2023-09-21 09:33:00,2023-09-21 09:33:00,1,549.84,353,1,Belgium,80,549.84,0,,3,At Risk
12391,2023-11-18 12:07:00,2023-11-18 12:07:00,1,439.66,293,1,Cyprus,22,439.66,0,,0,Occasional
12393,2023-09-28 15:41:00,2023-01-11 09:47:00,4,1582.6000000000001,816,3,Australia,73,395.65,260,86.66666666666667,1,Loyal Growth
12394,2023-10-07 08:08:00,2023-05-06 14:01:00,2,1272.48,819,2,Belgium,64,636.24,153,153.0,1,Loyal Growth
12395,2023-11-20 15:21:00,2022-12-03 16:35:00,12,3018.63,2118,8,Belgium,20,251.5525,351,31.90909090909091,2,Champions
12397,2023-11-04 09:52:00,2023-07-27 14:21:00,2,2409.9,1263,2,Belgium,36,1204.9499999999998,99,99.0,1,Loyal Growth
12398,2023-10-25 10:27:00,2023-10-25 10:27:00,1,1635.6599999999999,1394,1,Switzerland,46,1635.6599999999999,0,,1,Loyal Growth
12399,2023-08-12 13:15:00,2023-03-23 09:42:00,4,1108.65,1178,4,Belgium,120,277.1625,142,47.333333333333336,1,Loyal Growth
12401,2023-02-09 13:50:00,2023-02-09 13:50:00,1,84.3,11,1,Belgium,304,84.3,0,,3,At Risk
12402,2023-01-20 13:49:00,2023-01-20 13:49:00,1,225.6,94,1,Belgium,324,225.6,0,,3,At Risk
12403,2023-10-21 10:51:00,2023-10-21 10:51:00,1,427.7,96,1,Denmark,50,427.7,0,,3,At Risk
12405,2023-07-14 08:52:00,2023-07-14 08:52:00,1,1710.39,857,1,Finland,149,1710.39,0,,3,At Risk
12406,2023-11-17 19:22:00,2023-06-09 10:23:00,2,3415.3,1818,2,Denmark,23,1707.65,161,161.0,1,Loyal Growth
12407,2023-10-21 10:11:00,2023-03-20 13:21:00,5,1708.1200000000001,1416,4,Belgium,50,341.62399999999997,214,53.5,1,Loyal Growth
12408,2023-11-07 12:27:00,2023-03-24 14:46:00,5,2888.55,1409,4,Belgium,33,577.71,227,56.75,1,Loyal Growth
12409,2023-09-22 10:38:00,2023-06-10 12:19:00,3,11072.67,5551,2,Switzerland,79,3690.89,103,51.5,1,Loyal Growth
12410,2023-02-04 10:39:00,2023-02-04 10:38:00,2,693.3299999999999,211,1,Switzerland,309,346.66499999999996,0,0.0,3,At Risk
12412,2023-09-26 10:16:00,2023-06-23 13:51:00,3,1226.88,829,3,Denmark,75,408.96000000000004,94,47.0,1,Loyal Growth
12413,2023-10-04 09:00:00,2023-01-06 16:12:00,3,758.1,286,3,France,67,252.70000000000002,270,135.0,1,Loyal Growth
12414,2023-05-06 14:51:00,2023-02-02 14:51:00,3,562.41,300,3,Austria,218,187.47,93,46.5,3,At Risk
12415,2023-11-15 14:22:00,2023-01-06 11:12:00,21,124914.53,77374,11,Australia,25,5948.310952380953,313,15.65,2,Champions
12417,2023-12-06 14:52:00,2022-12-17 11:51:00,9,3649.1,1552,8,Belgium,4,405.4555555555555,354,44.25,2,Champions
12418,2023-08-19 11:08:00,2023-08-19 11:08:00,1,668.58,407,1,Switzerland,113,668.58,0,,3,At Risk
12420,2023-10-07 08:55:00,2023-10-07 08:55:00,1,600.39,345,1,Cyprus,64,600.39,0,,3,At Risk
12421,2023-11-24 09:07:00,2023-01-24 15:09:00,4,807.04,484,4,Spain,16,201.76,303,101.0,0,Occasional
12422,2023-09-05 09:48:00,2023-01-19 09:13:00,3,803.5600000000001,370,3,Australia,96,267.8533333333333,229,114.5,1,Loyal Growth
12423,2023-12-09 10:10:00,2022-12-21 10:54:00,8,1859.31,1339,8,Belgium,1,232.41375,352,50.285714285714285,2,Champions
12424,2023-06-30 12:06:00,2023-06-30 12:06:00,2,1760.96,740,1,Australia,163,880.4800000000001,0,0.0,1,Loyal Growth
12425,2023-09-22 17:31:00,2023-09-22 17:31:00,1,777.2,496,1,Portugal,79,777.2,0,,3,At Risk
12426,2023-05-29 12:26:00,2023-05-29 12:26:00,1,582.73,258,1,Germany,195,582.73,0,,3,At Risk
12427,2023-11-18 08:56:00,2022-12-03 10:44:00,3,825.8,533,3,Germany,22,275.26666666666665,349,174.5,0,Occasional
12428,2023-11-14 08:22:00,2023-03-01 09:33:00,9,7956.46,3536,5,Finland,26,884.0511111111111,257,32.125,2,Champions
12429,2023-11-30 17:22:00,2022-12-09 12:05:00,4,3750.4,1557,4,Denmark,10,937.6,356,118.66666666666667,2,Champions
12430,2023-10-27 15:09:00,2023-10-27 15:09:00,1,256.4,117,1,Norway,44,256.4,0,,3,At Risk
12431,2023-11-04 11:55:00,2022-12-01 10:03:00,15,6419.95,2896,8,Australia,36,427.99666666666667,338,24.142857142857142,2,Champions
12432,2023-10-28 11:43:00,2023-06-20 13:27:00,5,5059.32,1801,2,Norway,43,1011.8639999999999,129,32.25,1,Loyal Growth
12433,2023-12-09 10:02:00,2022-12-01 13:24:00,7,13375.87,11071,5,Norway,1,1910.8385714285716,372,62.0,2,Champions
12434,2023-09-16 12:38:00,2023-03-24 13:05:00,2,806.14,394,2,Australia,85,403.07,175,175.0,1,Loyal Growth
12435,2023-09-21 09:06:00,2023-03-17 07:40:00,2,7829.89,2055,2,Denmark,80,3914.945,188,188.0,1,Loyal Growth
12436,2023-09-01 12:09:00,2023-09-01 12:09:00,1,509.01,211,1,Norway,100,509.01,0,,3,At Risk
12437,2023-12-08 11:35:00,2023-01-12 14:13:00,18,4951.41,2922,10,France,2,275.0783333333333,329,19.352941176470587,2,Champions
12438,2023-11-25 13:28:00,2023-07-22 13:29:00,2,2906.85,1180,2,Norway,15,1453.425,125,125.0,1,Loyal Growth
12441,2022-12-08 10:45:00,2022-12-08 10:45:00,1,173.55,121,1,France,367,173.55,0,,3,At Risk
12442,2023-12-06 14:22:00,2023-12-06 14:22:00,1,172.06,182,1,Spain,4,172.06,0,,0,Occasional
12444,2023-11-18 13:23:00,2023-06-21 14:00:00,5,5005.46,1153,5,Norway,22,1001.092,149,37.25,2,Champions
12445,2023-11-17 18:43:00,2023-11-17 18:43:00,1,133.4,62,1,Spain,23,133.4,0,,0,Occasional
12446,2023-10-13 12:50:00,2023-10-13 12:50:00,1,1002.3100000000001,351,1,RSA,58,1002.3100000000001,0,,3,At Risk
12447,2023-04-10 13:25:00,2023-04-10 13:25:00,1,476.49,190,1,Belgium,244,476.49,0,,3,At Risk
12448,2023-10-26 13:46:00,2023-10-26 13:46:00,1,449.45,243,1,Spain,45,449.45,0,,0,Occasional
12449,2023-11-17 13:46:00,2023-06-05 15:37:00,4,4067.29,1553,4,Belgium,23,1016.8225,164,54.666666666666664,1,Loyal Growth
12450,2023-07-06 14:41:00,2023-06-19 14:36:00,2,197.88,128,2,Spain,157,98.94,17,17.0,3,At Risk
12451,2023-11-29 08:40:00,2023-01-19 09:05:00,5,9035.52,6575,4,Switzerland,11,1807.104,313,78.25,2,Champions
12452,2023-11-23 10:28:00,2023-11-23 08:05:00,2,430.57,185,1,Switzerland,17,215.285,0,0.0,0,Occasional
12453,2023-07-28 14:08:00,2023-07-28 14:08:00,1,707.09,473,1,Austria,135,707.09,0,,3,At Risk
12454,2023-10-14 17:13:00,2023-10-14 17:13:00,1,3528.34,1006,1,Spain,57,3528.34,0,,1,Loyal Growth
12455,2023-09-27 15:31:00,2023-02-16 09:56:00,6,2466.86,2089,5,Spain,74,411.1433333333334,223,44.6,1,Loyal Growth
12456,2023-10-26 14:41:00,2023-03-30 09:12:00,3,3181.04,1633,3,Switzerland,45,1060.3466666666666,210,105.0,1,Loyal Growth
12457,2023-10-04 13:13:00,2023-04-14 18:57:00,7,2363.23,843,3,Switzerland,67,337.6042857142857,172,28.666666666666668,1,Loyal Growth
12458,2023-09-29 15:25:00,2023-02-28 10:55:00,2,947.4,506,2,Switzerland,72,473.70000000000005,213,213.0,1,Loyal Growth
12461,2023-09-06 16:57:00,2023-07-08 10:23:00,2,826.88,287,2,Switzerland,95,413.44,60,60.0,1,Loyal Growth
12462,2023-11-21 09:11:00,2023-02-09 14:44:00,2,1189.59,536,2,Spain,19,594.7950000000001,284,284.0,0,Occasional
12463,2023-10-17 13:44:00,2023-04-12 12:47:00,4,1344.78,776,4,Belgium,54,336.195,188,62.666666666666664,1,Loyal Growth
12464,2023-11-29 13:33:00,2023-02-03 13:30:00,8,1212.05,112,5,Belgium,11,151.50625,299,42.714285714285715,2,Champions
12465,2023-11-22 16:34:00,2023-06-23 13:37:00,2,742.1899999999999,479,2,Belgium,18,371.095,152,152.0,0,Occasional
12468,2023-06-05 11:36:00,2023-01-27 13:29:00,2,729.5400000000001,366,2,Germany,188,364.77000000000004,128,128.0,3,At Risk
12471,2023-12-07 15:43:00,2022-12-10 09:35:00,30,19788.65,8200,12,Germany,3,659.6216666666667,362,12.482758620689655,2,Champions
12472,2023-11-07 14:01:00,2022-12-05 14:19:00,7,6572.11,4148,7,Germany,33,938.8728571428572,336,56.0,2,Champions
12473,2023-11-10 13:46:00,2023-06-01 10:15:00,5,3928.0499999999997,2414,4,Germany,30,785.61,162,40.5,1,Loyal Growth
12474,2023-11-22 14:39:00,2023-01-14 10:06:00,18,7324.09,4833,9,Germany,18,406.8938888888889,312,18.352941176470587,2,Champions
12475,2023-10-17 10:10:00,2023-10-17 10:10:00,1,723.38,535,1,Germany,54,723.38,0,,3,At Risk
12476,2023-11-24 12:40:00,2022-12-13 14:39:00,11,6816.42,2408,9,Germany,16,619.6745454545454,345,34.5,2,Champions
12477,2023-11-17 09:51:00,2023-02-11 12:45:00,6,13219.74,3653,5,Germany,23,2203.29,278,55.6,2,Champions
12478,2023-12-06 09:56:00,2023-12-06 09:56:00,1,680.99,236,1,Greece,4,680.99,0,,0,Occasional
12479,2023-11-28 13:26:00,2023-11-28 13:26:00,1,527.2,385,1,Germany,12,527.2,0,,0,Occasional
12480,2023-11-11 14:52:00,2023-01-07 15:27:00,4,3281.63,1707,4,Germany,29,820.4075,307,102.33333333333333,1,Loyal Growth
12481,2023-11-17 08:29:00,2022-12-09 10:13:00,10,5579.82,3294,7,Germany,23,557.9820000000001,342,38.0,2,Champions
12483,2023-11-22 17:02:00,2023-01-04 14:20:00,8,2484.98,1110,7,Sweden,18,310.6225,322,46.0,2,Champions
12484,2023-11-07 11:37:00,2023-01-07 14:04:00,6,4527.32,2187,4,Spain,33,754.5533333333333,303,60.6,1,Loyal Growth
12488,2023-11-30 08:50:00,2023-09-25 10:34:00,3,1298.66,529,3,France,10,432.8866666666667,65,32.5,0,Occasional
12489,2023-01-07 13:13:00,2023-01-07 13:13:00,1,334.93,105,1,France,337,334.93,0,,3,At Risk
12490,2023-12-04 16:07:00,2023-01-14 09:13:00,10,5417.93,3064,8,France,6,541.793,324,36.0,2,Champions
12491,2023-11-01 12:18:00,2023-11-01 12:18:00,1,460.40000000000003,260,1,France,39,460.40000000000003,0,,0,Occasional
12492,2023-10-07 15:15:00,2023-08-26 14:51:00,2,263.21000000000004,192,2,Germany,64,131.60500000000002,42,42.0,3,At Risk
12493,2023-06-27 10:17:00,2023-05-26 14:53:00,2,433.74,207,2,France,166,216.87,31,31.0,3,At Risk
12494,2023-11-24 09:34:00,2022-12-09 11:31:00,7,1246.1000000000001,707,6,France,16,178.01428571428573,349,58.166666666666664,1,Loyal Growth
12497,2023-09-19 12:29:00,2023-09-19 12:29:00,1,1043.1,1236,1,Germany,82,1043.1,0,,3,At Risk
12498,2023-11-18 12:53:00,2023-10-13 09:30:00,3,403.70000000000005,159,2,Germany,22,134.56666666666666,36,18.0,0,Occasional
12500,2023-11-16 16:20:00,2023-01-10 09:48:00,11,4257.82,2678,7,Germany,24,387.07454545454544,310,31.0,2,Champions
12501,2023-01-07 12:28:00,2023-01-07 12:28:00,1,2169.39,1783,1,Germany,337,2169.39,0,,3,At Risk
12502,2023-09-05 11:52:00,2023-02-03 10:41:00,5,3723.87,820,5,Spain,96,744.774,214,53.5,1,Loyal Growth
12504,2023-11-21 16:02:00,2023-11-09 14:56:00,2,482.04999999999995,90,1,Germany,19,241.02499999999998,12,12.0,0,Occasional
12506,2023-04-21 08:54:00,2023-04-21 08:54:00,1,73.5,23,1,France,233,73.5,0,,3,At Risk
12507,2023-07-28 17:09:00,2023-02-14 09:24:00,3,1304.81,894,2,Spain,135,434.93666666666667,164,82.0,1,Loyal Growth
12508,2023-11-13 15:37:00,2023-11-10 16:27:00,2,397.88,271,1,France,27,198.94,2,2.0,0,Occasional
12509,2023-02-28 14:45:00,2023-02-28 14:45:00,1,176.5,55,1,France,285,176.5,0,,3,At Risk
12510,2023-07-20 10:15:00,2023-01-18 14:04:00,2,982.5699999999999,353,2,Spain,143,491.28499999999997,182,182.0,1,Loyal Growth
12512,2023-10-04 14:55:00,2023-10-04 14:53:00,2,132.18,96,1,Israel,67,66.09,0,0.0,3,At Risk
12513,2023-08-19 10:51:00,2023-08-19 10:51:00,1,612.29,462,1,France,113,612.29,0,,3,At Risk
12514,2023-03-17 16:38:00,2023-03-17 16:38:00,1,1017.68,440,1,Italy,268,1017.68,0,,3,At Risk
12515,2022-12-21 15:43:00,2022-12-21 15:43:00,1,383.7,131,1,Italy,354,383.7,0,,3,At Risk
12516,2023-09-23 09:13:00,2023-06-12 11:37:00,2,1312.06,875,2,Germany,78,656.03,102,102.0,1,Loyal Growth
12517,2023-11-11 14:04:00,2023-06-02 15:13:00,5,2481.6,1361,4,Germany,29,496.32,161,40.25,1,Loyal Growth
12518,2023-12-09 10:13:00,2023-08-21 13:18:00,5,2056.89,1318,5,Germany,1,411.378,109,27.25,2,Champions
12519,2023-10-07 09:26:00,2023-10-07 09:26:00,1,330.84,175,1,Germany,64,330.84,0,,3,At Risk
12520,2023-09-21 15:23:00,2023-03-11 11:35:00,5,2634.26,1439,4,Germany,80,526.8520000000001,194,48.5,1,Loyal Growth
12521,2023-07-20 10:51:00,2023-07-20 10:51:00,1,599.68,309,1,Germany,143,599.68,0,,3,At Risk
12522,2023-10-31 15:30:00,2023-10-19 14:41:00,2,192.72,194,1,Germany,40,96.36,12,12.0,0,Occasional
12523,2023-11-20 12:55:00,2023-01-12 09:43:00,11,1789.77,865,9,France,20,162.70636363636365,312,31.2,2,Champions
12524,2023-11-30 15:31:00,2023-01-10 10:35:00,8,4485.72,3699,7,Germany,10,560.7149999999999,324,46.285714285714285,2,Champions
12526,2023-12-09 12:09:00,2023-09-06 14:19:00,3,1316.66,632,3,Germany,1,438.8866666666666,93,46.5,0,Occasional
12527,2023-09-19 11:55:00,2023-01-18 12:05:00,3,348.71000000000004,234,3,Germany,82,116.23666666666668,243,121.5,3,At Risk
12528,2023-11-30 14:40:00,2023-01-31 09:05:00,6,1933.48,756,6,Germany,10,322.24666666666667,303,60.6,2,Champions
12530,2023-10-11 12:34:00,2023-01-07 10:04:00,4,1662.28,913,4,Germany,60,415.57,277,92.33333333333333,1,Loyal Growth
12531,2023-11-25 11:12:00,2023-11-25 11:12:00,1,125.22,45,1,Germany,15,125.22,0,,0,Occasional
12532,2023-11-09 13:47:00,2023-11-09 13:47:00,1,349.83000000000004,153,1,France,31,349.83000000000004,0,,0,Occasional
12534,2023-08-01 10:26:00,2023-08-01 10:26:00,1,1089.18,651,1,Germany,131,1089.18,0,,3,At Risk
12535,2023-09-09 08:48:00,2023-06-06 12:47:00,2,716.35,219,2,France,92,358.17499999999995,94,94.0,3,At Risk
12536,2023-10-27 14:20:00,2023-10-11 14:52:00,3,12601.830000000002,2803,1,France,44,4200.610000000001,15,7.5,1,Loyal Growth
12538,2023-11-10 17:16:00,2023-11-10 17:16:00,1,363.95,191,1,Spain,30,363.95,0,,0,Occasional
12539,2023-11-17 13:30:00,2023-01-10 09:11:00,4,5568.35,2067,3,Spain,23,1392.0875,311,103.66666666666667,1,Loyal Growth
12540,2023-11-20 11:31:00,2022-12-13 09:39:00,17,13400.24,6685,11,Spain,20,788.2494117647059,342,21.375,2,Champions
12541,2023-11-10 10:40:00,2023-03-04 09:32:00,3,981.18,680,3,Spain,30,327.06,251,125.5,1,Loyal Growth
12544,2023-11-03 16:15:00,2023-11-03 16:15:00,1,372.7,136,1,Spain,37,372.7,0,,0,Occasional
12545,2023-09-25 13:39:00,2023-03-25 12:04:00,2,1000.39,523,2,Spain,76,500.195,184,184.0,1,Loyal Growth
12546,2023-10-24 12:09:00,2023-09-23 09:44:00,2,1161.5,633,2,Spain,47,580.75,31,31.0,1,Loyal Growth
12547,2023-05-26 12:38:00,2023-03-04 12:46:00,2,207.79999999999998,134,2,Spain,198,103.9,82,82.0,3,At Risk
12548,2023-06-26 15:35:00,2023-06-26 15:35:00,1,95.19999999999999,49,1,Spain,167,95.19999999999999,0,,3,At Risk
12550,2023-09-21 14:35:00,2023-09-21 14:35:00,1,964.83,569,1,Spain,80,964.83,0,,3,At Risk
12551,2022-12-17 11:23:00,2022-12-17 11:23:00,1,168.0,100,1,Spain,358,168.0,0,,3,At Risk
12552,2023-11-01 10:02:00,2023-10-31 12:11:00,2,437.82,88,2,Italy,39,218.91,0,0.0,0,Occasional
12553,2023-12-01 16:38:00,2023-01-14 10:42:00,10,3692.28,1965,9,France,9,369.22799999999995,321,35.666666666666664,2,Champions
12556,2023-10-20 13:06:00,2023-07-11 13:35:00,2,599.56,355,2,Spain,51,299.78,100,100.0,0,Occasional
12557,2023-11-23 16:59:00,2022-12-03 12:20:00,5,11990.960000000001,4384,5,Spain,17,2398.192,355,88.75,2,Champions
12558,2023-12-02 10:41:00,2023-12-02 10:41:00,1,269.96,196,1,USA,8,269.96,0,,0,Occasional
12559,2023-02-02 09:49:00,2023-01-24 10:12:00,2,561.71,283,2,Germany,311,280.855,8,8.0,3,At Risk
12560,2023-12-04 13:54:00,2023-07-19 15:55:00,3,2134.01,1110,3,Germany,6,711.3366666666667,137,68.5,0,Occasional
12561,2023-02-10 11:39:00,2023-02-10 11:39:00,1,238.85,177,1,Germany,303,238.85,0,,3,At Risk
12562,2023-12-01 17:20:00,2023-05-25 12:44:00,7,3781.7400000000002,1779,7,France,9,540.2485714285714,190,31.666666666666668,2,Champions
12564,2023-03-23 14:55:00,2023-03-23 14:55:00,1,456.9,133,1,France,262,456.9,0,,3,At Risk
12565,2023-02-24 10:34:00,2023-02-24 10:34:00,1,145.92,80,1,Saudi Arabia,289,145.92,0,,3,At Risk
12566,2023-09-14 14:30:00,2023-09-14 14:30:00,1,351.65,265,1,Germany,87,351.65,0,,3,At Risk
12567,2023-11-17 11:02:00,2022-12-05 11:57:00,10,9401.28,4305,7,France,23,940.128,346,38.44444444444444,2,Champions
12569,2023-12-07 16:24:00,2023-04-01 13:47:00,32,4124.69,1801,9,Germany,3,128.89656250000002,250,8.064516129032258,2,Champions
12571,2023-10-31 10:19:00,2023-08-10 12:35:00,2,519.61,523,2,France,40,259.805,81,81.0,0,Occasional
12572,2023-12-01 09:20:00,2023-10-19 08:20:00,2,1020.42,452,2,Germany,9,510.21000000000004,43,43.0,0,Occasional
12573,2023-04-26 15:52:00,2023-04-26 15:52:00,1,160.54000000000002,84,1,France,228,160.54000000000002,0,,3,At Risk
12574,2023-01-28 09:20:00,2023-01-28 09:20:00,1,218.45,61,1,France,316,218.45,0,,3,At Risk
12576,2023-11-04 10:11:00,2023-02-08 11:31:00,5,1315.83,967,5,Poland,36,263.166,268,67.0,1,Loyal Growth
12577,2023-11-04 13:24:00,2022-12-15 16:21:00,3,626.6,469,2,France,36,208.86666666666667,323,161.5,1,Loyal Growth
12578,2023-11-18 13:30:00,2023-01-13 15:34:00,2,2794.51,1196,2,Italy,22,1397.255,308,308.0,1,Loyal Growth
12579,2023-09-22 17:15:00,2023-09-22 17:15:00,1,440.42,285,1,France,79,440.42,0,,3,At Risk
12580,2023-04-07 10:24:00,2023-04-07 10:24:00,1,415.7,238,1,Germany,247,415.7,0,,3,At Risk
12581,2023-10-31 08:56:00,2023-10-31 08:56:00,1,197.71,161,1,Germany,40,197.71,0,,0,Occasional
12582,2023-04-15 08:45:00,2023-02-24 11:42:00,2,511.36,300,2,Finland,239,255.68,49,49.0,3,At Risk
12583,2023-12-07 08:07:00,2022-12-01 08:45:00,15,7281.38,5060,12,France,3,485.42533333333336,370,26.428571428571427,2,Champions
12584,2023-12-06 09:35:00,2023-03-04 15:15:00,9,2338.15,416,8,Italy,4,259.7944444444445,276,34.5,2,Champions
12585,2023-04-19 13:39:00,2022-12-23 12:58:00,2,2040.1,1279,2,Germany,235,1020.05,117,117.0,1,Loyal Growth
12586,2023-11-22 16:24:00,2023-11-22 16:24:00,1,196.94000000000003,79,1,Italy,18,196.94000000000003,0,,0,Occasional
12587,2023-12-02 12:47:00,2023-12-02 12:47:00,1,144.0,51,1,Finland,8,144.0,0,,0,Occasional
12588,2023-10-31 15:01:00,2023-10-31 15:01:00,1,214.89999999999998,53,1,Finland,40,214.89999999999998,0,,0,Occasional
12589,2023-11-11 10:19:00,2023-07-18 12:05:00,2,646.68,306,2,France,29,323.34000000000003,115,115.0,0,Occasional
12590,2023-05-12 14:52:00,2023-05-12 14:46:00,2,9864.26,4283,1,Germany,212,4932.13,0,0.0,1,Loyal Growth
12591,2023-01-26 14:35:00,2023-01-26 14:35:00,1,452.84999999999997,228,1,Italy,318,452.84999999999997,0,,3,At Risk
12592,2023-09-08 15:04:00,2023-05-10 13:44:00,2,437.6,290,2,Germany,93,218.8,121,121.0,3,At Risk
12593,2023-08-23 12:43:00,2023-05-05 09:29:00,3,418.09999999999997,206,2,France,109,139.36666666666667,110,55.0,3,At Risk
12594,2023-11-02 12:20:00,2023-01-21 09:52:00,10,3338.2200000000003,1777,9,Italy,38,333.822,285,31.666666666666668,2,Champions
12596,2023-10-19 13:02:00,2023-04-11 13:22:00,2,618.27,474,2,Spain,52,309.135,190,190.0,0,Occasional
12597,2023-11-20 13:33:00,2023-03-16 14:00:00,4,3811.22,2236,4,Spain,20,952.805,248,82.66666666666667,1,Loyal Growth
12598,2023-11-30 12:18:00,2023-02-28 11:58:00,8,3023.08,1964,5,France,10,377.885,275,39.285714285714285,2,Champions
12599,2023-11-10 13:34:00,2023-02-08 13:28:00,7,1032.58,956,6,France,30,147.51142857142855,275,45.833333333333336,1,Loyal Growth
12600,2023-11-11 10:29:00,2022-12-03 12:57:00,10,2599.04,774,9,Germany,29,259.904,342,38.0,2,Champions
12601,2023-06-03 10:17:00,2023-01-11 10:38:00,5,577.0600000000001,245,5,Germany,190,115.41199999999999,142,35.5,1,Loyal Growth
12602,2023-10-12 11:22:00,2023-10-12 11:22:00,1,153.12,162,1,France,59,153.12,0,,3,At Risk
12603,2023-11-18 10:42:00,2023-11-18 10:42:00,1,739.1999999999999,63,1,Germany,22,739.1999999999999,0,,0,Occasional
12604,2023-09-21 14:08:00,2023-03-23 12:06:00,2,254.18,201,2,France,80,127.09,182,182.0,3,At Risk
